#,,Deutsch,Bedeutung ,Beispiel,Example,Takeaway
99,die,"Atmosphäre, n",atmosphere,Die Atmosphäre im Raum ist gut.,The atmosphere in the room is good.,
100,die,"Attraktion, en",attraction,Das Museum ist eine große Attraktion.,The museum is a major attraction.,
101,die,"Aubergine, n",eggplant,Ich koche Aubergine.,I am cooking eggplant.,
102,,Auf Wiederhören,goodbye (on the phone),Auf Wiederhören!,Goodbye! (on the phone),
103,,Auf Wiedersehen,goodbye,Auf Wiedersehen!,Goodbye!,
104,der,"Aufenthalt, e","stay, sojourn",Mein Aufenthalt in Berlin war schön.,My stay in Berlin was nice.,
105,der,"Aufenthaltstitel, -",residence permit,Ich brauche einen Aufenthaltstitel.,I need a residence permit.,
106,die,"Aufführung, en",performance,Die Aufführung war fantastisch.,The performance was fantastic.,
107,die,"Aufmerksamkeit, en",attention,Schenke mir deine Aufmerksamkeit.,Give me your attention.,
108,die,"Aufforderung, en","request, demand",Er hat eine Aufforderung erhalten.,He received a request.,
109,die,"Aufgabe, n","task, assignment",Ich habe meine Aufgabe erledigt.,I have completed my task.,
110,der,"Aufzug, Aufzüge",elevator,Der Aufzug ist kaputt.,The elevator is broken.,
111,der,"Augenblick, e","moment, instant",Warten Sie einen Augenblick!,Wait a moment!,
112,die,"Auktion, en",auction,Das Bild wird auf einer Auktion verkauft.,The painting is being sold at an auction.,
113,das,"Auge, n",eye,Sie hat blaue Augen.,She has blue eyes.,
114,der,"Augenarzt, ärzte",ophthalmologist,Ich gehe zum Augenarzt.,I am going to the ophthalmologist.,
115,der,"August, e",August,Im August sind die Ferien.,The holidays are in August.,
116,das,Aus,"off, out",Das Licht ist aus.,The light is off.,
117,die,"Ausbildung, en","training, education",Sie macht eine Ausbildung zur Krankenschwester.,She is training to be a nurse.,
118,der,"Ausdruck, drücke",expression,Dein Ausdruck ist traurig.,Your expression is sad.,
119,die,"Ausfahrt, en",exit (motorway),Nehmen Sie die nächste Ausfahrt.,Take the next exit.,
120,der,"Ausflug, flüge","excursion, trip",Wir machen einen Ausflug.,We are going on an excursion.,
121,der,"Ausgang, gänge",exit,Wo ist der Ausgang?,Where is the exit?,
122,der,"Ausgangspunkt, e",starting point,Das ist der Ausgangspunkt der Wanderung.,That is the starting point of the hike.,
123,die,"Auskunft, künfte",information,Ich brauche eine Auskunft.,I need some information.,
124,die,"Auslage, n","display, shop window",Die Auslage ist schön dekoriert.,The display is nicely decorated.,
125,das,Ausland,foreign country,Er lebt im Ausland.,He lives abroad.,
126,der,"Ausländer, -
Ausländerin, nen",foreigner (male),Er ist ein Ausländer.,He is a foreigner.,
127,die,"Aussage, n","statement, testimony",Ihre Aussage ist wichtig.,She is a foreigner.,
128,die,"Ausrede, n",excuse,Er hat immer eine Ausrede.,Her statement is important.,
129,der,"Aussagesatz, ätze",declarative sentence,Ein Aussagesatz endet mit einem Punkt.,A declarative sentence ends with a period.,
130,die,"Äußerung, en","statement, remark",Seine Äußerung war sehr unhöflich.,His remark was very rude.,
131,die,"Aussicht, en","view, prospect",Die Aussicht vom Berg ist wunderschön.,The view from the mountain is beautiful.,
132,die,"Aussprache, n",pronunciation,Seine Aussprache ist sehr gut.,His pronunciation is very good.,
133,die,"Ausstellung, en",exhibition,Wir gehen in eine Ausstellung.,We are going to an exhibition.,
134,der,"Australier, -
Australierin, nen",Australian (female),Sie ist eine Australierin.,She is an Australian.,
135,der,"Ausverkauf, -verkäufe",sale,Im Geschäft gibt es einen Ausverkauf.,There is a sale at the store.,
136,die,Auswahl,"selection, choice",Die Auswahl ist groß.,The selection is large.,
137,der,"Ausweis, e","ID card, pass",Zeigen Sie bitte Ihren Ausweis.,Please show your ID card.,
138,die,"Auswertung, en","evaluation, analysis",Die Auswertung der Daten dauert.,The analysis of the data is taking time.,
139,das,"Auto, s",car,Ich fahre mit dem Auto.,I am driving by car.,
140,die,"Autobahn, en",highway,Die Autobahn ist voll.,The highway is full.,
141,der,"Autobus, se",bus,Der Autobus kommt gleich.,The bus is coming soon.,
142,das,"Baby, s",baby,Das Baby schläft.,The baby is sleeping.,
143,die,"Babynahrung, en",baby food,Ich kaufe Babynahrung.,I am buying baby food.,
144,der,"Bach, Bäche","creek, stream",Wir gehen am Bach spazieren.,We are walking by the creek.,
145,das,"Backblech, e",baking tray,Das Backblech ist im Ofen.,The baking tray is in the oven.,
146,der,"Babysitter, -",babysitter,Der Babysitter passt auf die Kinder auf.,The babysitter is looking after the children.,
147,der,"Bäcker, -",baker (male),Der Bäcker backt Brot.,The baker is baking bread.,
148,die,"Bäckerei, en",bakery,Ich gehe in die Bäckerei.,I am going to the bakery.,
149,die,"Bäckerin, nen",baker (female),Die Bäckerin ist sehr gut.,The female baker is very good.,
150,das,"Bad, Bäder","bathroom, bath",Das Bad ist im ersten Stock.,The bathroom is on the first floor.,
151,der,"Badeanzug, -anzüge",swimsuit,Sie trägt einen roten Badeanzug.,She is wearing a red swimsuit.,
152,die,"Badehose, n",swimming trunks,Er trägt eine blaue Badehose.,He is wearing blue swimming trunks.,
153,der,"Badeschuh, e",bathing shoe,Ich trage Badeschuhe am Strand.,I wear bathing shoes at the beach.,
154,die,"Badewanne, n",bathtub,Die Badewanne ist voll mit Wasser.,The bathtub is full of water.,
155,das,"Badezimmer, -",bathroom,Das Badezimmer ist neu.,The bathroom is new.,
156,die,"Bahn, en","train, railway",Die Bahn fährt pünktlich.,The train is running on time.,
157,der,"Bahnhof, -höfe",train station,Wir treffen uns am Bahnhof.,We are meeting at the train station.,
158,der,"Bahnsteig, e",platform,Der Zug fährt von Bahnsteig 5 ab.,The train departs from platform 5.,
159,der,"Balkon, e/s",balcony,Wir sitzen auf dem Balkon.,We are sitting on the balcony.,
160,der,"Ball, Bälle",ball,Er spielt mit dem Ball.,He is playing with the ball.,
161,die,"Banane, n",banana,Die Banane ist gelb.,The banana is yellow.,
162,das,"Band, Bänder","ribbon, band",Das Geschenk hat ein rotes Band.,The gift has a red ribbon.,
163,die,"Bank, Bänke","bench, bank",Wir sitzen auf einer Bank.,We are sitting on a bench.,
164,der,"Bankomat, en",ATM (in Austria),Wo ist der nächste Bankomat?,Where is the nearest ATM?,
165,der,"Bär, en",bear,Der Bär schläft im Winter.,The bear sleeps in the winter.,
166,die,"Bar, s",bar,Wir gehen in eine Bar.,We are going to a bar.,
167,das,Bargeld,cash,Ich bezahle mit Bargeld.,I am paying with cash.,
168,der,"Basketball, -bälle",basketball,Er spielt Basketball.,He is playing basketball.,
169,der,"Bass, Bässe",bass,Er spielt den Bass.,He is playing the bass.,
170,die,"Batterie, n",battery,Die Batterie ist leer.,The battery is dead.,
171,der,"Bauarbeiter, -",construction worker (male),Der Bauarbeiter baut ein Haus.,The construction worker is building a house.,
172,die,"Bauarbeiterin, nen",construction worker (female),Die Bauarbeiterin arbeitet hart.,The female construction worker is working hard.,
173,der,"Bauch, Bäuche","belly, stomach",Mein Bauch tut weh.,My stomach hurts.,
174,der,"Bauer, n",farmer (male),Der Bauer arbeitet auf dem Feld.,The farmer is working in the field.,
175,die,"Bäuerin, nen",farmer (female),Die Bäuerin melkt die Kuh.,The female farmer is milking the cow.,
176,das,"Bauernhaus, -häuser",farmhouse,Sie wohnen in einem alten Bauernhaus.,They live in an old farmhouse.,
177,der,"Bauernhof, -höfe",farm,Ich besuche einen Bauernhof.,I am visiting a farm.,
178,der,"Baum, Bäume",tree,Der Baum ist grün.,The tree is green.,
179,der,"Baustein, e",building block,Die Kinder spielen mit Bausteinen.,The children are playing with building blocks.,
180,die,"Baustelle, n",construction site,Die Baustelle ist laut.,The construction site is loud.,
181,der,"Beamer, -",projector,Der Beamer zeigt die Präsentation.,The projector is showing the presentation.,
182,der,"Becher, -",cup,Er trinkt aus einem Becher.,He is drinking from a cup.,
183,der,"Befund, e","finding, diagnosis",Der Befund des Arztes ist klar.,The doctor's diagnosis is clear.,
184,das,"Begräbnis, se",funeral,Das Begräbnis findet am Freitag statt.,The funeral is taking place on Friday.,
185,der,"Behälter, -",container,Der Behälter ist leer.,The container is empty.,
186,die,"Behandlung, en",treatment,Die Behandlung war erfolgreich.,The treatment was successful.,
187,die,"Behörde, n","authority, agency",Die Behörde hat das Dokument ausgestellt.,The authority issued the document.,
188,die,"Bedeutung, en","meaning, significance",Was ist die Bedeutung dieses Wortes?,What is the meaning of this word?,
189,die,"Beere, n",berry,Die Beeren sind süß.,The berries are sweet.,
190,das,"Beet, e",flower bed,Ich pflanze Blumen im Beet.,I am planting flowers in the flower bed.,
191,die,"Beilage, n",side dish,Als Beilage gibt es Reis.,Rice is served as a side dish.,
192,der,"Befreier, -",liberator,Er ist ein Befreier.,He is a liberator.,
193,die,"Befreiung, en",liberation,Die Befreiung der Stadt wurde gefeiert.,The liberation of the city was celebrated.,
194,die,"Begrüßung, en",greeting,Die Begrüßung war sehr herzlich.,The greeting was very warm.,
195,das,"Bein, e",leg,Er hat sich das Bein gebrochen.,He broke his leg.,
196,das,"Beispiel, e",example,Kannst du mir ein Beispiel geben?,Can you give me an example?,
197,der,"Beitrag, Beiträge","contribution, fee",Ich zahle meinen Beitrag.,I am paying my contribution.,
198,der,"Bekannte, n",acquaintance (male/female),Ich habe viele Bekannte in dieser Stadt.,I have many acquaintances in this city.,
199,die,"Bekanntschaft, en",acquaintance (relationship),Die Bekanntschaft hat sich gelohnt.,The acquaintance was worthwhile.,
200,die,"Beleidigung, en",insult,Das war eine Beleidigung.,That was an insult.,
201,das,Belieben,"discretion, liking",Nach Belieben können Sie mich anrufen.,You can call me at your discretion.,
202,die,Beliebtheit,popularity,Seine Beliebtheit ist sehr groß.,His popularity is very great.,
203,das,Benehmen,behavior,Sein Benehmen war unangebracht.,His behavior was inappropriate.,
204,der,"Benutzer, -",user,Der Benutzername ist ungültig.,The username is invalid.,
205,der,"Berg, e",mountain,Wir wandern in den Bergen.,We are hiking in the mountains.,
206,der,"Bericht, e",report,Ich muss einen Bericht schreiben.,I have to write a report.,
207,der,"Beruf, e","profession, job",Was ist dein Beruf?,What is your profession?,
208,der,"Bescheid, e","information, reply",Gib mir bitte Bescheid.,Please let me know.,
209,die,"Bescheinigung, en","certificate, confirmation",Ich brauche eine Bescheinigung.,I need a certificate.,
210,die,"Beschreibung, en",description,Die Beschreibung ist sehr genau.,The description is very accurate.,
211,die,"Beschwerde, n",complaint,Ich habe eine Beschwerde eingereicht.,I have filed a complaint.,
212,die,"Besichtigung, en","viewing, visit",Die Besichtigung des Museums war toll.,The visit to the museum was great.,
213,das,Besteck,cutlery,Das Besteck liegt auf dem Tisch.,The cutlery is on the table.,
214,die,"Besprechung, en","meeting, discussion",Wir haben eine Besprechung.,We have a meeting.,
215,die,"Besserung, en",improvement,Ich wünsche dir gute Besserung.,I wish you a speedy recovery.,
216,der,"Besucher, -",visitor (male),Er ist ein Besucher.,He is a visitor.,
217,die,"Betonung, en","emphasis, stress",Die Betonung liegt auf dem ersten Wort.,The emphasis is on the first word.,
218,der,"Betreff, e",subject (of an email),Was ist der Betreff der E-Mail?,What is the subject of the email?,
219,die,"Betreuung, en","care, supervision",Die Betreuung der Kinder ist gut.,The care for the children is good.,
220,das,"Bett, en",bed,Ich gehe ins Bett.,I am going to bed.,
221,die,Bettwäsche,bed linen,Die Bettwäsche ist neu.,The bed linen is new.,
222,die,"Bevölkerung, en",population,Die Bevölkerung der Stadt wächst.,The city's population is growing.,
223,die,"Bewegung, en","movement, exercise",Bewegung ist wichtig für die Gesundheit.,Movement is important for health.,
224,der,"Bewerb, e",contest (Austrian),Er nimmt an einem Bewerb teil.,He is participating in a contest.,
225,der,"Bezirk, e","district, borough",Ich wohne in einem anderen Bezirk.,I live in a different district.,
226,die,"Bibliothek, en",library,Ich gehe in die Bibliothek.,I am going to the library.,
227,die,"Bezahlung, en",payment,Die Bezahlung ist pünktlich.,The payment is on time.,
228,die,"Beziehung, en",relationship,Sie haben eine gute Beziehung.,They have a good relationship.,
229,der,"Biber, -",beaver,Der Biber baut einen Damm.,The beaver is building a dam.,
230,die,"Biene, n",bee,Die Biene sammelt Honig.,The bee is collecting honey.,
231,das,"Bier, e",beer,Ich trinke ein Bier.,I am drinking a beer.,
232,der,"Biergarten, -gärten",beer garden,Wir sitzen im Biergarten.,We are sitting in the beer garden.,
233,der,Big Ben,Big Ben,Big Ben steht in London.,Big Ben is in London.,
234,der,"Bikini, s",bikini,Sie trägt einen Bikini.,She is wearing a bikini.,
235,das,"Bild, er","picture, image",Das Bild ist schön.,The picture is beautiful.,
236,der,Bilderrahmen,picture frame,Der Bilderrahmen ist aus Holz.,The picture frame is made of wood.,
237,die,"Binde, n","bandage, sanitary pad",Sie braucht eine Binde.,She needs a bandage.,
238,die,"Birne, n","pear, lightbulb",Die Birne ist süß.,The pear is sweet.,
239,die,Biologie,biology,Ich lerne Biologie in der Schule.,I am learning biology in school.,
240,die,"Bitte, n","request, plea",Er hat eine Bitte an mich.,He has a request for me.,
241,die,"Blamage, n","disgrace, embarrassment",Das war eine echte Blamage.,That was a real disgrace.,
242,das,"Blatt, Blätter","leaf, sheet of paper",Das Blatt fällt vom Baum.,The leaf is falling from the tree.,
243,der,"Bleistift, e",pencil,Ich schreibe mit einem Bleistift.,I am writing with a pencil.,
244,der,"Blick, e","view, glance",Der Blick aus dem Fenster ist toll.,The view from the window is great.,
245,der,"Blitz, e",lightning,Nach dem Blitz kommt der Donner.,After the lightning comes the thunder.,
246,der,"Block, Blöcke","block, pad of paper",Ich brauche einen Block und einen Stift.,I need a pad and a pen.,
247,die,"Blume, n",flower,Die Blume ist rot.,The flower is red.,
248,der,"Blumenstrauß, -sträuße",bouquet,Ich schenke ihr einen Blumenstrauß.,I am giving her a bouquet.,
249,das,Blut,blood,Das Blut ist rot.,The blood is red.,
250,das,"Blumengeschäft, e",flower shop,Ich kaufe Blumen im Blumengeschäft.,I am buying flowers in the flower shop.,
251,der,"Blumenkohl, e",cauliflower,Blumenkohl ist gesund.,Cauliflower is healthy.,
252,die,"Bluse, n",blouse,Sie trägt eine weiße Bluse.,She is wearing a white blouse.,
253,der,"Boden, Böden","floor, ground",Der Boden ist sauber.,The floor is clean.,
254,die,"Bohne, n",bean,Ich esse gerne Bohnen.,I like to eat beans.,
255,das,"Bonbon, s",candy,Das Kind isst ein Bonbon.,The child is eating a candy.,
256,das,"Boot, e",boat,Das Boot schwimmt auf dem Wasser.,The boat is floating on the water.,
257,der,"Bord, e",board (of a vehicle),Alle Passagiere sind an Bord.,All passengers are on board.,
258,das,"Bordrestaurant, s",onboard restaurant,Wir essen im Bordrestaurant.,We are eating in the onboard restaurant.,
259,die,"Bordkarte, n",boarding pass,Zeigen Sie Ihre Bordkarte.,Show your boarding pass.,
260,die,"Botschaft, en","message, embassy",Ich habe eine Botschaft für dich.,I have a message for you.,
261,der,"Boxer, -",boxer (male),Der Boxer trainiert hart.,The boxer is training hard.,
262,die,"Boxerin, nen",boxer (female),Die Boxerin ist sehr stark.,The female boxer is very strong.,
263,das,Brandenburger Tor,Brandenburg Gate,Das Brandenburger Tor ist in Berlin.,The Brandenburg Gate is in Berlin.,
264,das,"Brett, er","board, plank",Das Brett ist aus Holz.,The board is made of wood.,
265,das,"Brettspiel, e",board game,Wir spielen ein Brettspiel.,We are playing a board game.,
266,die,"Bremse, n",brake,Die Bremse quietscht.,The brake is squeaking.,
267,der,"Brief, e",letter,Ich schreibe einen Brief.,I am writing a letter.,
268,der,"Briefkasten, -kästen",mailbox,Der Briefkasten ist voll.,The mailbox is full.,
269,die,"Briefmarke, n",stamp,Ich brauche eine Briefmarke.,I need a stamp.,
270,die,"Brille, n",glasses,Sie trägt eine Brille.,She wears glasses.,
271,die,"Brise, n",breeze,Eine kühle Brise weht.,A cool breeze is blowing.,
272,der,"Brite, n",Briton,Er ist ein Brite.,He is a Briton.,
273,der,"Brokkoli, -",broccoli,Brokkoli ist gesund.,Broccoli is healthy.,
274,das,"Brot, e",bread,Ich kaufe ein Brot.,I am buying a loaf of bread.,
275,das,"Brötchen, -",bread roll,Ich esse ein Brötchen zum Frühstück.,I'm eating a bread roll for breakfast.,
276,die,"Brücke, n",bridge,Wir gehen über die Brücke.,We are walking over the bridge.,
277,der,"Bruder, Brüder",brother,Mein Bruder ist älter als ich.,My brother is older than me.,
278,der,"Brunnen, -","well, fountain",Der Brunnen spendet Wasser.,The well provides water.,
279,die,"Brust, Brüste","chest, breast",Er hat Schmerzen in der Brust.,He has chest pain.,
280,der,"Bube, n",jack (card),Er hat einen Buben auf der Hand.,He has a jack in his hand.,
281,das,"Buch, Bücher",book,Das Buch ist interessant.,The book is interesting.,
282,der,"Buchstabe, n",letter (of the alphabet),Welcher Buchstabe kommt nach A?,Which letter comes after A?,
283,die,"Bücherei, en",library,Ich leihe ein Buch aus der Bücherei aus.,I am borrowing a book from the library.,
284,das,"Bücherregal, e",bookshelf,Das Bücherregal ist voll.,The bookshelf is full.,
285,die,"Bucht, en","bay, cove",Wir segeln in die Bucht.,We are sailing into the bay.,
286,die,"Bühne, n",stage,Die Schauspieler stehen auf der Bühne.,The actors are standing on the stage.,
287,der,"Bummel, -",stroll,Wir machen einen gemütlichen Bummel.,We are taking a leisurely stroll.,
288,der,"Bund, Bünde","federation, bond",Der Bund zwischen den Ländern ist stark.,The bond between the countries is strong.,
289,die,"Bundesregierung, en",federal government,Die Bundesregierung trifft eine Entscheidung.,The federal government is making a decision.,
290,die,"Burg, en",castle,Die alte Burg ist schön.,The old castle is beautiful.,
291,der,"Bürger, Bürgerin (nen)",citizen,Er ist ein Bürger dieser Stadt.,He is a citizen of this city.,
292,der,Bürgermeister m. Bürgermeisterin(-nen) f.,mayor,Der Bürgermeister hält eine Rede.,The mayor is giving a speech.,
293,das,"Büro, s",office,Ich arbeite im Büro.,I work in the office.,
294,die,"Bürste, n",brush,Ich brauche eine Bürste für die Haare.,I need a brush for my hair.,
295,der,"Bus, se",bus,Der Bus ist voll.,The bus is full.,
296,der,"Busch, Büsche",bush,Der Busch ist grün.,The bush is green.,
297,die,"Butter, -",butter,Die Butter ist weich.,The butter is soft.,
298,das,"Butterbrot, e",slice of bread with butter,Ich esse ein Butterbrot.,I am eating a slice of bread with butter.,
299,das,"Café, s",cafe,Wir treffen uns im Café.,We are meeting at the cafe.,
300,das,"Camping, -",camping,Wir gehen am Wochenende campen.,We are going camping on the weekend.,
301,der,"Campingurlaub, e",camping holiday,Wir machen einen Campingurlaub.,We are going on a camping holiday.,
302,der,Carmembert,camembert,Der Camembert ist ein Käse.,Camembert is a type of cheese.,
303,die,"Chance, n","chance, opportunity",Nutze deine Chance.,Take your chance.,
304,das,Chaos,chaos,Hier herrscht das Chaos.,There is chaos here.,
305,der,Charakter,character,Er hat einen guten Charakter.,He has a good character.,
