,,,,,,,,Präsens,,,,,,Präteritum,,,,,,,,,
12,reg,adoptieren,to adopt,Sie adoptieren ein Kind.,They are adopting a child.,,,adoptiere,adoptierst,adoptiert,adoptieren,adoptiert,adoptieren,adoptierte,adoptiertest,adoptierte,adoptierten,adoptiertet,adoptierten,adoptiert,,,
13,reg,ahnen,to suspect/to have a premonition,Ich ahne nichts Gutes.,I suspect nothing good.,,,ahne,ahnest,ahnt,ahnen,ahnt,ahnen,ahnte,ahntest,ahnte,ahnten,ahntet,ahnten,geahnt,,,
14,reg,akzentuieren ,to accentuate / emphasize,Der Redner akzentuierte die wichtigsten Punkte.,The speaker emphasized the most important points.,,,akzentuiere,akzentuierst,akzentuiert,akzentuieren,akzentuiert,akzentuieren,akzentuierte,akzentuiertest,akzentuierte,akzentuierten,akzentuiertet,akzentuierten,akzentuiert,,,
15,reg,an.   zeigen,to show/to display,Die Uhr zeigt die Zeit an.,The clock shows the time.,,,zeige. an,zeigst. an,zeigt. an,zeigen. an,zeigt. an,zeigen. an,zeigte. an,zeigtest. an,zeigte. an,zeigten. an,zeigtet. an,zeigten. an,angezeigt,,,
16,unr,an.  bieten,to offer,Er bietet mir einen Kaffee an.,He offers me a coffee.,,,biete. an,bietest. an,bietet. an,bieten. an,bietet. an,bieten. an,bot. an,botest. an,bot. an,boten. an,botet. an,boten. an,angeboten,,,
17,unr,an.  erkennen,to recognize,Ich erkenne dich auf dem Foto an.,I recognize you in the photo.,(sich),,erkenne. an,erkennst. an,erkennt. an,erkennen. an,erkennt. an,erkennen. an,erkannte. an,erkanntest. an,erkannte. an,erkannten. an,erkanntet. an,erkannten. an,anerkannt,,,
18,unr,an.  fangen ,to begin/to start,Wir fangen jetzt an.,We are starting now.,,mit,fange.  an,fängst.  an,fängt.  an,fangen.  an,fangt.  an,fangen.  an,fing.  an,fingst.  an,fing.  an,fingen.  an,fingt.  an,fingen.  an,angefangen ,,,
19,reg,an.  fordern,to request / demand,Der Lehrer fordert mehr Disziplin an.,The teacher demands more discipline.,,,fordere. an,forderst. an,fordert. an,fordern. an,fordert. an,fordern. an,forderte. an,fordertest. an,forderte. an,forderten. an,fordertet. an,forderten. an,angefordert,,,
20,unr,an.  haben,to have on/to be wearing,Er hat ein blaues Hemd an.,He is wearing a blue shirt.,,,habe.  an ,hast.  an,hat.  an,haben.  an,habt.  an,haben.  an,hatte.  an,hattest.  an,hatte.  an,hatten.  an,hattet.  an,hatten.  an,angehabt,,,
21,reg,an.  kreuzen ,to tick / mark,Bitte kreuzen Sie die richtige Antwort an.,Please tick the correct answer.,,,kreuze. an,kreuzt. an,kreuzt. an,kreuzen. an,kreuzt. an,kreuzen. an,kreuzte. an,kreuztest. an,kreuzte. an,kreuzten. an,kreuztet. an,kreuzten. an,angekreuzt,,,
22,reg,an.  legen,to put on/to invest,Er legt sein Geld an.,He is investing his money.,,,lege. an,legst. an,legt. an,legen. an,legt. an,legen. an,legte. an,legtest. an,legte. an,legten. an,legtet. an,legten. an,angelegt,,,
23,reg,an.  melden,to register/to sign up,Ich melde mich für den Kurs an.,I am signing up for the course.,sich,bei (D) für (A),melde. an,meldest. an,meldet. an,melden. an,meldet. an,melden. an,meldete. an,meldetest. an,meldete. an,meldeten. an,meldetet. an,meldeten. an,angemeldet,,,
24,unr,an.  nehmen,to accept,Er nimmt das Geschenk an.,He accepts the gift.,,,nehme. an,nimmst. an,nimmt. an,nehmen. an,nehmt. an,nehmen. an,nahm. an,nahmst. an,nahm. an,nahmen. an,nahmt. an,nahmen. an,angenommen,,,
25,reg,an.  passen,to adapt / adjust,Er passt die Strategie an die neue Situation an.,He adapts the strategy to the new situation.,,,passe. an,passt. an,passt. an,passen. an,passt. an,passen. an,passte. an,passtest. an,passte. an,passten. an,passtet. an,passten. an,angepasst,,,
26,reg,an.  probieren ,to try on,Ich muss die Hose anprobieren.,I have to try on the pants.,sich,,probiere. an,probierst. an,probiert. an,probieren. an,probiert. an,probieren. an,probierte. an,probiertest. an,probierte. an,probierten. an,probiertet. an,probierten. an,angeprobiert,,,
27,reg,an.  schauen,to look at,Wir schauen uns einen Film an.,We are watching a movie.,sich,,schaue.  an,schaust.  an,schaut.  an,schauen.  an,schaut.  an,schauen.  an,schaute.  an,schautest. an,schaute.  an,schauten.  an,schautet.  an,schauten.  an,angeschaut,,,
28,unr,an.  sehen ,to watch / look at,Er sieht sich die Bilder an.,He looks at the pictures.,sich,,sehe.  an,siehst.  an,sieht.  an,sehen.  an,seht.  an,sehen.  an,sah.  an,sahst.  an,sah.  an,sahen.  an,saht.  an,sahen.  an,angesehen ,,,
29,reg,an.  spannen,to tense / strain,Sie spannt ihre Muskeln an.,She tenses her muscles.,,,spanne. an,spannst. an,spannt. an,spannen. an,spannt. an,spannen. an,spannte. an,spanntest. an,spannte. an,spannten. an,spanntet. an,spannten. an,angespannt,,,
30,reg,an.  stellen ,to employ / hire,Die Firma stellt neue Mitarbeiter an.,The company hires new employees.,,,stelle. an,stellst. an,stellt. an,stellen. an,stellt. an,stellen. an,stellte. an,stelltest. an,stellte. an,stellten. an,stelltet. an,stellten. an,angestellt,,,
31,reg,an.  strengen,to exert / strain,Das Lernen strengt ihn sehr an.,Studying exhausts him a lot.,,,strenge. an,strengst. an,strengt. an,strengen. an,strengt. an,strengen. an,strengte. an,strengtest. an,strengte. an,strengten. an,strengtet. an,strengten. an,angestrengt,,,
32,unr,an.  ziehen,to put on clothes,Ich ziehe meine Jacke an.,I am putting on my jacket.,sich,,ziehe. an,ziehst. an,zieht. an,ziehen. an,zieht. an,ziehen. an,zog. an,zogst. an,zog. an,zogen. an,zogt. an,zogen. an,angezogen,,,
33,unr,anhalten,"to stop (a vehicle, etc.)",Der Bus hält an.,The bus is stopping.,,,halte. an,hältst. an,hält. an,halten. an,haltet. an,halten. an,hielt. an,hieltst. an,hielt. an,hielten. an,hieltet. an,hielten. an,angehalten,,,
34,reg,anrufen,to call (on the phone),Ich rufe dich später an.,I'll call you later.,,,rufe an,rufst an,ruft an,rufen an,ruft an,rufen an,rief an,riefst an,rief an,riefen an,rieft an,riefen an,angerufen,,,
35,reg,anschreiben,to write to/to contact,Ich werde ihn anschreiben.,I will write to him.,,,schreibe an,schreibst an,schreibt an,schreiben an,schreibt an,schreiben an,schrieb an,schriebst an,schrieb an,schrieben an,schriebt an,schrieben an,angeschrieben,,,
36,reg,antworten,to answer,Sie antwortet auf die Frage.,She is answering the question.,dir (V dir auf Object),auf (A),antworte,antwortest,antwortet,antworten,antwortet,antworten,antwortete,antwortetest,antwortete,antworteten,antwortetet,antworteten,geantwortet,,,
37,reg,arbeiten.  + bei,to work at/for (a company),Ich arbeite bei Google.,I work at Google.,,"an, mit (D)",arbeite,arbeitest,arbeitet,arbeiten,arbeitet,arbeiten,arbeitete,arbeitetest,arbeitete,arbeiteten,arbeitetet,arbeiteten,gearbeitet,,,
38,reg,arbeiten.  + für,to work ,Ich arbeite für eine Bank.,I work for a bank.,,,,,,,,,,,,,,,,,,
39,reg,ärgern,to annoy,Das ärgert mich.,That annoys me.,sich,über (A),ärgere,ärgerst,ärgert,ärgern,ärgert,ärgern,ärgerte,ärgertest,ärgerte,ärgerten,ärgertet,ärgerten,geärgert,,,
40,reg,atmen,to breathe,Er atmet tief ein.,He is breathing deeply.,,,atme,atmest,atmet,atmen,atmet,atmen,atmete,atmetest,atmete,atmeten,atmetet,atmeten,geatmet,,,
41,reg,attraktivieren,to make attractive,Die Stadt will den Park attraktivieren.,The city wants to make the park more attractive.,,,attraktiviere,attraktivierst,attraktiviert,attraktivieren,attraktiviert,attraktivieren,attraktivierte,attraktiviertest,attraktivierte,attraktivierten,attraktiviertet,attraktivierten,attraktiviert,,,
42,unr,auf.  geben,to give up,Er gibt nicht auf.,He is not giving up.,,,gebe. auf,gibst. auf,gibt. auf,geben. auf,gebt. auf,geben. auf,gab. auf,gabst. auf,gab. auf,gaben. auf,gabt. auf,gaben. auf,aufgegeben,,,
43,unr,auf.  heben,to pick up/to lift,Er hebt den Stift auf.,He is picking up the pen.,,,hebe. auf,hebst. auf,hebt. auf,heben. auf,hebt. auf,heben. auf,hob. auf,hobst. auf,hob. auf,hoben. auf,hobt. auf,hoben. auf,aufgehoben,,,
44,reg,auf.  hören ,to stop/to cease,Hört bitte auf zu reden.,Please stop talking.,,mit,höre. auf,hörst. auf,hört. auf,hören. auf,hört. auf,hören. auf,hörte. auf,hörtest. auf,hörte. auf,hörten. auf,hörtet. auf,hörten. auf,aufgehört,,,
45,reg,auf.  legen,"to put on (music, etc.)",Er hat das Telefon aufgelegt.,He hung up the phone.,,,lege. auf,legst. auf,legt. auf,legen. auf,legt. auf,legen. auf,legte. auf,legtest. auf,legte. auf,legten. auf,legtet. auf,legten. auf,aufgelegt,,,
46,reg,auf.  machen,to open,Sie macht die Tür auf.,She opens the door.,,,mache. auf,machst. auf,macht. auf,machen. auf,macht. auf,machen. auf,machte. auf,machtest. auf,machte. auf,machten. auf,machtet. auf,machten. auf,aufgemacht,,,
47,unr,auf.  nehmen,to record/to take in,Er nimmt ein Lied auf.,He is recording a song.,,,nehme.  auf,nimmst.  auf,nimmt.  auf,nehmen.  auf,nehmt.  auf,nehmen.  auf,nahm.  auf,nahmst.  auf,nahm.  auf,nahmen.  auf,nahmt.  auf,nahmen.  auf,aufgenommen,,,
48,reg,auf.  passen,to pay attention/to look after,Pass gut auf dich auf.,Take good care of yourself.,,,passe. auf,passt. auf,passt. auf,passen. auf,passt. auf,passen. auf,passte. auf,passtest. auf,passte. auf,passten. auf,passtet. auf,passten. auf,aufgepasst,,,
49,reg,auf.  räumen,to tidy up,Wir räumen das Zimmer auf.,We are tidying up the room.,,,räume. auf,räumst. auf,räumt. auf,räumen. auf,räumt. auf,räumen. auf,räumte. auf,räumtest. auf,räumte. auf,räumten. auf,räumtet. auf,räumten. auf,aufgeräumt,,,
50,reg,auf.  sperren,to unlock,Er sperrt die Tür auf.,He unlocks the door.,,,sperre. auf,sperrst. auf,sperrt. auf,sperren. auf,sperrt. auf,sperren. auf,sperrte. auf,sperrtest. auf,sperrte. auf,sperrten. auf,sperrtet. auf,sperrten. auf,aufgesperrt,,,
51,unr,auf.  stehen ,to get up,Ich stehe jeden Morgen um 7 Uhr auf.,I get up every morning at 7 o’clock.,,,stehe.  auf,stehst.  auf,steht.  auf,stehen.  auf,steht.  auf,stehen.  auf,stand.  auf,standest.  auf,stand.  auf,standen.  auf,standet.  auf,standen.  auf,aufgestanden ,,,
52,reg,auf.  tauchen,to emerge/to appear,Er taucht aus dem Wasser auf.,He is emerging from the water.,,,tauche.  auf,tauchst.  auf,taucht.  auf,tauchen.  auf,taucht.  auf,tauchen.  auf,tauchte.  auf,tauchtest.  auf,tauchte.  auf,tauchten.  auf,tauchtet.  auf,tauchten.  auf,aufgetaucht,,,
53,reg,auf.  wachen,to wake up,Ich wache um 7 Uhr auf.,I wake up at 7 a.m.,,,wache. auf,wachst. auf,wacht. auf,wachen. auf,wacht. auf,wachen. auf,wachte. auf,wachtest. auf,wachte. auf,wachten. auf,wachtet. auf,wachten. auf,aufgewacht,,,
54,unr,auf.  wachsen,to grow up,Sie ist in Berlin aufgewachsen.,She grew up in Berlin.,,,wachse. auf,wächst. auf,wächst. auf,wachsen. auf,wachst. auf,wachsen. auf,wuchs. auf,wuchsest. auf,wuchs. auf,wuchsen. auf,wuchst. auf,wuchsen. auf,aufgewachsen,,,
55,reg,aufführen,to perform,Sie führen ein Theaterstück auf.,They are performing a play.,sich,,führe auf,führst auf,führt auf,führen auf,führt auf,führen auf,führte auf,führtest auf,führte auf,führten auf,führtet auf,führten auf,aufgeführt,,,
56,unr,aufgeben,to give up,Er gibt nicht auf.,He is not giving up.,,,gebe. auf,gibst. auf,gibt. auf,geben. auf,gebt. auf,geben. auf,gab. auf,gabst. auf,gab. auf,gaben. auf,gabt. auf,gaben. auf,aufgegeben,,,
57,reg,aufwärmen,to warm up,Ich wärme das Essen auf.,I am warming up the food.,sich,,wärme auf,wärmst auf,wärmt auf,wärmen auf,wärmt auf,wärmen auf,wärmte auf,wärmtest auf,wärmte auf,wärmten auf,wärmtet auf,wärmten auf,aufgewärmt,,,
58,reg,aus.  drucken,to print out,Ich drucke das Dokument aus.,I print out the document.,,,drucke. aus,druckst. aus,druckt. aus,drucken. aus,druckt. aus,drucken. aus,druckte. aus,drucktest. aus,druckte. aus,druckten. aus,drucktet. aus,druckten. aus,ausgedruckt,,,
59,reg,aus.  drücken,to express,Er drückt seine Gefühle aus.,He is expressing his feelings.,sich,,drücke.  aus,drückst.  aus,drückt.  aus,drücken.  aus,drückt.  aus,drücken.  aus,drückte.  aus,drücktest.  aus,drückte.  aus,drückten.  aus,drücktet.  aus,drückten.  aus,ausgedrückt,,,
60,reg,aus.  füllen ,to fill in,Bitte füllen Sie dieses Formular aus.,Please fill out this form.,,,fülle. aus,füllst. aus,füllt. aus,füllen. aus,füllt. aus,füllen. aus,füllte. aus,fülltest. aus,füllte. aus,füllten. aus,fülltet. aus,füllten. aus,ausgefüllt,,,
61,reg,aus.  malen,to color in,Das Kind malt das Bild aus.,The child is coloring in the picture.,,,male. aus,malst. aus,malt. aus,malen. aus,malt. aus,malen. aus,malte. aus,maltest. aus,malte. aus,malten. aus,maltet. aus,malten. aus,ausgemalt,,,
62,reg,aus.  packen,to unpack,Wir müssen die Koffer auspacken.,We have to unpack the suitcases.,,,packe. aus,packst. aus,packt. aus,packen. aus,packt. aus,packen. aus,packte. aus,packtest. aus,packte. aus,packten. aus,packtet. aus,packten. aus,ausgepackt,,,
63,reg,aus.  probieren,to try out,Ich will das neue Rezept ausprobieren.,I want to try out the new recipe.,,,probiere.  aus,probierst.  aus,probiert.  aus,probieren.  aus,probiert.  aus,probieren.  aus,probierte.  aus,probiertest.  aus,probierte.  aus,probierten aus,probiertet aus,probierten aus,ausgeprobiert,,"testen, versuchen (attempt)",
64,reg,aus.  sagen,to testify / state,Der Zeuge sagte vor Gericht aus.,The witness testified in court.,,,sage. aus,sagst. aus,sagt. aus,sagen. aus,sagt. aus,sagen. aus,sagte. aus,sagtest. aus,sagte. aus,sagten. aus,sagtet. aus,sagten. aus,ausgesagt,,,
65,unr,aus.  sprechen,to pronounce,Kannst du das Wort aussprechen?,Can you pronounce the word?,,,spreche. aus,sprichst. aus,spricht. aus,sprechen. aus,sprecht. aus,sprechen. aus,sprach. aus,sprachst. aus,sprach. aus,sprachen. aus,spracht. aus,sprachen. aus,ausgesprochen,,,
66,reg,aus.  stellen ,to exhibit / issue,Das Museum stellt alte Gemälde aus.,The museum exhibits old paintings.,,,stelle. aus,stellst. aus,stellt. aus,stellen. aus,stellt. aus,stellen. aus,stellte. aus,stelltest. aus,stellte. aus,stellten. aus,stelltet. aus,stellten. aus,ausgestellt,,,
67,reg,aus.  strecken,to stretch out,Er streckt die Hand aus.,He stretches out his hand.,,,strecke. aus,streckst. aus,streckt. aus,strecken. aus,streckt. aus,strecken. aus,streckte. aus,strecktest. aus,streckte. aus,streckten. aus,strecktet. aus,streckten. aus,ausgestreckt,,,
68,reg,aus.  werten,to evaluate / analyze,Die Ergebnisse wurden ausgewertet.,The results were evaluated.,,,werte. aus,wertest. aus,wertet. aus,werten. aus,wertet. aus,werten. aus,wertete. aus,wertetest. aus,wertete. aus,werteten. aus,wertetet. aus,werteten. aus,ausgewertet,,,
69,reg,aus.  zeichnen ,"to distinguish, award",Der Autor wurde mit einem Preis ausgezeichnet.,The author was awarded a prize.,,,zeichne. aus,zeichnest. aus,zeichnet. aus,zeichnen. aus,zeichnet. aus,zeichnen. aus,zeichnete. aus,zeichnetest. aus,zeichnete. aus,zeichneten. aus,zeichnetet. aus,zeichneten. aus,ausgezeichnet,,,
70,unr,aus. leihen,to borrow/to lend,Ich leihe mir ein Buch aus.,I am borrowing a book.,,,leihe.  aus ,leihst.  aus,leiht.  aus,leihen.  aus,leiht.  aus,leihen.  aus,lieh.  aus,liehst.  aus,lieh.  aus,liehen.  aus,lieht.  aus,liehen.  aus,ausgeliehen,,,
71,reg,äußern ,to express,Sie äußerte ihre Meinung klar.,She expressed her opinion clearly.,,,äußere,äußerst	,äußert	,äußern,äußert	,äußern,äußerte,äußertest	,äußerte,äußerten,äußertet,äußerten,geäußert,,,
72,reg,aussteigen,to get out of (a vehicle),Sie steigt aus dem Bus aus.,She is getting out of the bus.,,,steige aus,steigst aus,steigt aus,steigen aus,steigt aus,steigen aus,stieg aus,stiegst aus,stieg aus,stiegen aus,stiegt aus,stiegen aus,ausgestiegen,,,
73,reg,backen,to bake,Sie backt einen Kuchen.,She is baking a cake.,,,backe,bäckst,bäckt,backen,backt,backen,backte,backtest,backte,backten,backtet,backten,gebacken,,,
74,unr,baden,to bathe,Wir baden im See.,We are bathing in the lake.,sich,,bade,badest,badet,baden,badet,baden,badete,badetest,badete,badeten,badetet,badeten,gebadet,,,
75,reg,bauen,to build,Sie bauen ein neues Haus.,They are building a new house.,,,baue,baust,baut,bauen,baut,bauen,baute,bautest,baute,bauten,bautet,bauten,gebaut,,,
76,reg,beantragen,to apply for,Ich beantrage ein Visum.,I am applying for a visa.,,,beantrage,beantragst,beantragt,beantragen,beantragt,beantragen,beantragte,beantragtest,beantragte,beantragten,beantragtet,beantragten,beantragt,,,
77,reg,beantworten ,"to answer, reply to",Er beantwortet die E-Mail sofort.,He answers the email immediately.,,,beantworte,beantwortest,beantwortet,beantworten,beantwortet,beantworten,beantwortete,beantwortetest,beantwortete,beantworteten,beantwortetet,beantworteten,beantwortet,,,
78,reg,beaufsichtigen ,to supervise,Die Lehrerin beaufsichtigt die Kinder.,The teacher supervises the children.,,,beaufsichtige,beaufsichtigst,beaufsichtigt,beaufsichtigen,beaufsichtigt,beaufsichtigen,beaufsichtigte,beaufsichtigtest,beaufsichtigte,beaufsichtigten,beaufsichtigtet,beaufsichtigten,beaufsichtigt,,,
79,reg,bedanken,to thank,Ich bedanke mich für die Einladung.,I thank you for the invitation.,sich,bei (D) für (A),bedanke,bedankst,bedankt,bedanken,bedankt,bedanken,bedankte,bedanktest,bedankte,bedankten,bedanktet,bedankten,bedankt,x,,
80,reg,bedeuten,to mean/to signify,Was bedeutet dieses Wort?,What does this word mean?,,,bedeute,bedeutest,bedeutet,bedeuten,bedeutet,bedeuten,bedeutete,bedeutetest,bedeutete,bedeuteten,bedeutetet,bedeuteten,bedeutet,,,
81,reg,beenden,"to finish, end",Wir beenden das Projekt nächste Woche.,We will finish the project next week.,,,beende,beendest,beendet,beenden,beendet,beenden,beendete,beendetest,beendete,beendeten,beendetet,beendeten,beendet,,,
82,unr,befinden,to be located/to be in a state,Ich befinde mich in Berlin.,I am in Berlin.,sich,,befinde,befindest,befindet,befinden,befindet,befinden,befand,befandest,befand,befanden,befandet,befanden,befunden,x,,
83,reg,befördern,to transport/to promote,Die Firma befördert Waren.,The company transports goods.,,,befördere,beförderst,befördert,befördern,befördert,befördern,beförderte,befördertest,beförderte,beförderten,befördertet,beförderten,befördert,,,
84,unr,befreien,"to free, liberate",Sie befreite den Vogel aus dem Käfig.,She freed the bird from the cage.,,,befreie,befreist,befreit,befreien,befreit,befreien,befreite,befreitest,befreite,befreiten,befreitet,befreiten,befreit,,,
85,reg,befürchen,"to fear, be afraid of",Ich befürchte das Schlimmste.,I fear the worst.,,,befürchte,befürchtest,befürchtet,befürchten,befürchtet,befürchten,befürchtete,befürchtetest,befürchtete,befürchteten,befürchtetet,befürchteten,befürchtet,,,
86,reg,begegnen,to meet/to encounter,Ich begegne ihm auf der Straße.,I encounter him on the street.,,DAT,begegne,begegnest,begegnet,begegnen,begegnet,begegnen,begegnete,begegnetest,begegnete,begegneten,begegnetet,begegneten,begegnet,x,,
87,reg,begehren,"to desire, covet",Er begehrt Ruhm und Reichtum.,He desires fame and wealth.,,,begehre,begehrst,begehrt,begehren,begehrt,begehren,begehrte,begehrtest,begehrte,begehrten,begehrtet,begehrten,begehrt,,,
88,reg,begeistern,to inspire/to thrill,Die Musik begeistert mich.,The music inspires me.,sich,an,begeistere,begeisterst,begeistert,begeistern,begeistert,begeistern,begeisterte,begeistert(e)st,begeisterte,begeisterten,begeistertet,begeisterten,begeistert,x,,
89,unr,beginnen ,"to begin, start",Der Kurs beginnt morgen.,The course begins tomorrow.,,mit,beginne,beginnst,beginnt,beginnen ,beginnt,beginnen ,begann,begannst,begann,begannen ,begannt,begannen ,begonnen ,,,
90,reg,begraben,to bury,Sie begraben den Schatz.,They bury the treasure.,,,begrabe,begräbst,begräbt,begraben,begrabt,begraben,begrub,begrubst,begrub,begruben,begrubt,begruben,begraben,,,
91,unr,begreifen,to understand/to grasp,Ich begreife die Situation nicht.,I don't grasp the situation.,,,begreife,begreifst,begreift,begreifen,begreift,begreifen,begriff,begriffst,begriff,begriffen,begrifft,begriffen,begriffen,,,
92,reg,begrenzen,to limit/to restrict,Wir müssen die Ausgaben begrenzen.,We have to limit the expenses.,,,begrenze,begrenzt,begrenzt,begrenzen,begrenzt,begrenzen,begrenzte,begrenztest,begrenzte,begrenzten,begrenztet,begrenzten,begrenzt,x,einschränken,
93,reg,begründen ,"to justify, give reasons for",Er begründete seine Entscheidung ausführlich.,He justified his decision in detail.,,,begründe,begründest,begründet,begründen,begründet,begründen,begründete,begründetest,begründete,begründeten,begründetet,begründeten,begründet,,,
94,unr,begünstigen ,"to favor, promote",Das Klima begünstigt den Weinbau.,The climate favors viticulture.,,,begünstige,begünstigst,begünstigt,begünstigen,begünstigt,begünstigen,begünstigte,begünstigtest,begünstigte,begünstigten,begünstigtet,begünstigten,begünstigt,,,
95,reg,behalten,to keep/to retain,Du kannst das Buch behalten.,You can keep the book.,,,behalte,behältst,behält,behalten,behaltet,behalten,behielt,behieltst,behielt,behielten,behieltet,behielten,behalten,,,
96,reg,behandeln,to treat/to handle,Sie behandelt ihre Patienten gut.,She treats her patients well.,,,behandle,behandelst,behandelt,behandeln,behandelt,behandeln,behandelte,behandeltest,behandelte,behandelten,behandeltet,behandelten,behandelt,,,
97,reg,beharren,to insist/to persist,Er beharrt auf seiner Meinung.,He insists on his opinion.,,auf,beharre,beharrst,beharrt,beharren,beharrt,beharren,beharrte,beharrtest,beharrte,beharrten,beharrtet,beharrten,beharrt,,,
98,reg,behaupten,"to claim, assert","Er behauptet, er sei unschuldig.",He claims he is innocent.,sich,,behaupte,behauptest,behauptet,behaupten,behauptet,behaupten,behauptete,behauptetest,behauptete,behaupteten,behauptetet,behaupteten,behauptet,,,
99,unr,bei.  tragen,to contribute,Jeder kann etwas beitragen.,Everyone can contribute something.,,zu,trage. bei,trägst. bei,trägt. bei,tragen. bei,tragt. bei,tragen. bei,trug. bei,trugst. bei,trug. bei,trugen. bei,trugt. bei,trugen. bei,beigetragen,x,,
100,reg,beißen,to bite,Der Hund beißt nicht.,The dog doesn't bite.,,,beiße,beißt,beißt,beißen,beißt,beißen,biss,bisst,biss,bissen,bisst,bissen,gebissen,,,
101,unr,beitreten,to join/to enter,Er tritt dem Verein bei.,He is joining the club.,,,trete. bei,trittst. bei,tritt. bei,treten. bei,trettet. bei,treten. bei,trat. bei,tratst. bei,trat. bei,traten. bei,tratet. bei,traten. bei,beigetreten,,,
102,reg,bekehren ,to convert (religion/belief),Der Missionar bekehrte viele Menschen.,The missionary converted many people.,sich,,bekehre,bekehrst,bekehrt,bekehren,bekehrt,bekehren,bekehrte,bekehrtest,bekehrte,bekehren,bekehrtet,bekehren,gekehrt,,,
103,reg,belasten,"to burden, strain",Die Arbeit belastet ihn sehr.,The work burdens him a lot.,,,belaste,belastest,belastet,belasten,belastet,belasten,belastete,belastetest,belastete,belasteten,belastetet,belasteten,belastet,,,
104,reg,belegen,to prove/to occupy,Er belegt einen Platz.,He is occupying a seat.,,,belege,belegst,belegt,belegen,belegt,belegen,belegte,belegtest,belegte,belegten,belegtet,belegten,belegt,,,
105,reg,beleidigen,to insult/to offend,Er hat mich beleidigt.,He insulted me.,,,beleidige,beleidigst,beleidigt,beleidigen,beleidigt,beleidigen,beleidigte,beleidigtest,beleidigte,beleidigten,beleidigtet,beleidigten,beleidigt,,,
106,reg,belieben ,"to please, fancy","Sie können kommen, wann es Ihnen beliebt.",You may come whenever you please.,,,beliebe,beliebst,beliebt,belieben,beliebt,belieben,beliebte,beliebtest,beliebte,beliebten,beliebtet,beliebten,beliebt,,,
