,,,Präsens,,,,,,Präteritum,,,,,,,,,,,,,,,
42,unr,auf.  geben,gebe. auf,gibst. auf,gibt. auf,geben. auf,gebt. auf,geben. auf,gab. auf,gabst. auf,gab. auf,gaben. auf,gabt. auf,gaben. auf,aufgegeben,,,auf. geben,to give up,Er gibt nicht auf.,He is not giving up.,,,
43,unr,auf.  heben,hebe. auf,hebst. auf,hebt. auf,heben. auf,hebt. auf,heben. auf,hob. auf,hobst. auf,hob. auf,hoben. auf,hobt. auf,hoben. auf,aufgehoben,,,auf. heben,to pick up/to lift,Er hebt den Stift auf.,He is picking up the pen.,,,
44,reg,auf.  hören ,höre. auf,hörst. auf,hört. auf,hören. auf,hört. auf,hören. auf,hörte. auf,hörtest. auf,hörte. auf,hörten. auf,hörtet. auf,hörten. auf,aufgehört,,mit,auf. hören,to stop/to cease,Hört bitte auf zu reden.,Please stop talking.,,,
45,reg,auf.  legen,lege. auf,legst. auf,legt. auf,legen. auf,legt. auf,legen. auf,legte. auf,legtest. auf,legte. auf,legten. auf,legtet. auf,legten. auf,aufgelegt,,,"place on, set, load, hang up","to put on (music, etc.)",Er hat das Telefon aufgelegt.,He hung up the phone.,,,
46,reg,auf.  machen,mache. auf,machst. auf,macht. auf,machen. auf,macht. auf,machen. auf,machte. auf,machtest. auf,machte. auf,machten. auf,machtet. auf,machten. auf,aufgemacht,,,auf. machen,to open,Sie macht die Tür auf.,She opens the door.,,,
47,unr,auf.  nehmen,nehme.  auf,nimmst.  auf,nimmt.  auf,nehmen.  auf,nehmt.  auf,nehmen.  auf,nahm.  auf,nahmst.  auf,nahm.  auf,nahmen.  auf,nahmt.  auf,nahmen.  auf,aufgenommen,,,auf. nehmen,to record/to take in,Er nimmt ein Lied auf.,He is recording a song.,,,
48,reg,auf.  passen,passe. auf,passt. auf,passt. auf,passen. auf,passt. auf,passen. auf,passte. auf,passtest. auf,passte. auf,passten. auf,passtet. auf,passten. auf,aufgepasst,,,auf. passen,to pay attention/to look after,Pass gut auf dich auf.,Take good care of yourself.,,,
49,reg,auf.  räumen,räume. auf,räumst. auf,räumt. auf,räumen. auf,räumt. auf,räumen. auf,räumte. auf,räumtest. auf,räumte. auf,räumten. auf,räumtet. auf,räumten. auf,aufgeräumt,,,"clean up, clear, tidy",to tidy up,Wir räumen das Zimmer auf.,We are tidying up the room.,,,
50,reg,auf.  sperren,sperre. auf,sperrst. auf,sperrt. auf,sperren. auf,sperrt. auf,sperren. auf,sperrte. auf,sperrtest. auf,sperrte. auf,sperrten. auf,sperrtet. auf,sperrten. auf,aufgesperrt,,,auf. sperren,to unlock,Er sperrt die Tür auf.,He unlocks the door.,,,
51,unr,auf.  stehen ,stehe.  auf,stehst.  auf,steht.  auf,stehen.  auf,steht.  auf,stehen.  auf,stand.  auf,standest.  auf,stand.  auf,standen.  auf,standet.  auf,standen.  auf,aufgestanden ,,,"dậy, đứng dậy (wake up)",to get up,Ich stehe jeden Morgen um 7 Uhr auf.,I get up every morning at 7 o’clock.,,,
52,reg,auf.  tauchen,tauche.  auf,tauchst.  auf,taucht.  auf,tauchen.  auf,taucht.  auf,tauchen.  auf,tauchte.  auf,tauchtest.  auf,tauchte.  auf,tauchten.  auf,tauchtet.  auf,tauchten.  auf,aufgetaucht,,,auf. tauchen,to emerge/to appear,Er taucht aus dem Wasser auf.,He is emerging from the water.,,,
53,reg,auf.  wachen,wache. auf,wachst. auf,wacht. auf,wachen. auf,wacht. auf,wachen. auf,wachte. auf,wachtest. auf,wachte. auf,wachten. auf,wachtet. auf,wachten. auf,aufgewacht,,,auf. wachen,to wake up,Ich wache um 7 Uhr auf.,I wake up at 7 a.m.,,,
54,unr,auf.  wachsen,wachse. auf,wächst. auf,wächst. auf,wachsen. auf,wachst. auf,wachsen. auf,wuchs. auf,wuchsest. auf,wuchs. auf,wuchsen. auf,wuchst. auf,wuchsen. auf,aufgewachsen,,,auf. wachsen,to grow up,Sie ist in Berlin aufgewachsen.,She grew up in Berlin.,,,
55,reg,aufführen,führe auf,führst auf,führt auf,führen auf,führt auf,führen auf,führte auf,führtest auf,führte auf,führten auf,führtet auf,führten auf,aufgeführt,sich,,aufführen,to perform,Sie führen ein Theaterstück auf.,They are performing a play.,,,
56,unr,aufgeben,gebe. auf,gibst. auf,gibt. auf,geben. auf,gebt. auf,geben. auf,gab. auf,gabst. auf,gab. auf,gaben. auf,gabt. auf,gaben. auf,aufgegeben,,,aufgeben,to give up,Er gibt nicht auf.,He is not giving up.,,,
57,reg,aufwärmen,wärme auf,wärmst auf,wärmt auf,wärmen auf,wärmt auf,wärmen auf,wärmte auf,wärmtest auf,wärmte auf,wärmten auf,wärmtet auf,wärmten auf,aufgewärmt,sich,,aufwärmen,to warm up,Ich wärme das Essen auf.,I am warming up the food.,,,
58,reg,aus.  drucken,drucke. aus,druckst. aus,druckt. aus,drucken. aus,druckt. aus,drucken. aus,druckte. aus,drucktest. aus,druckte. aus,druckten. aus,drucktet. aus,druckten. aus,ausgedruckt,,,print,to print out,Ich drucke das Dokument aus.,I print out the document.,,,
59,reg,aus.  drücken,drücke.  aus,drückst.  aus,drückt.  aus,drücken.  aus,drückt.  aus,drücken.  aus,drückte.  aus,drücktest.  aus,drückte.  aus,drückten.  aus,drücktet.  aus,drückten.  aus,ausgedrückt,sich,,aus. drücken,to express,Er drückt seine Gefühle aus.,He is expressing his feelings.,,,
60,reg,aus.  füllen ,fülle. aus,füllst. aus,füllt. aus,füllen. aus,füllt. aus,füllen. aus,füllte. aus,fülltest. aus,füllte. aus,füllten. aus,fülltet. aus,füllten. aus,ausgefüllt,,,"fill in, complete",to fill in,Bitte füllen Sie dieses Formular aus.,Please fill out this form.,,,
61,reg,aus.  malen,male. aus,malst. aus,malt. aus,malen. aus,malt. aus,malen. aus,malte. aus,maltest. aus,malte. aus,malten. aus,maltet. aus,malten. aus,ausgemalt,,,aus. malen,to color in,Das Kind malt das Bild aus.,The child is coloring in the picture.,,,
62,reg,aus.  packen,packe. aus,packst. aus,packt. aus,packen. aus,packt. aus,packen. aus,packte. aus,packtest. aus,packte. aus,packten. aus,packtet. aus,packten. aus,ausgepackt,,,aus. packen,to unpack,Wir müssen die Koffer auspacken.,We have to unpack the suitcases.,,,
63,reg,aus.  probieren,probiere.  aus,probierst.  aus,probiert.  aus,probieren.  aus,probiert.  aus,probieren.  aus,probierte.  aus,probiertest.  aus,probierte.  aus,probierten aus,probiertet aus,probierten aus,ausgeprobiert,,,aus. probieren,to try out,Ich will das neue Rezept ausprobieren.,I want to try out the new recipe.,,"testen, versuchen (attempt)",
64,reg,aus.  sagen,sage. aus,sagst. aus,sagt. aus,sagen. aus,sagt. aus,sagen. aus,sagte. aus,sagtest. aus,sagte. aus,sagten. aus,sagtet. aus,sagten. aus,ausgesagt,,,"testify, claim, witness",to testify / state,Der Zeuge sagte vor Gericht aus.,The witness testified in court.,,,
65,unr,aus.  sprechen,spreche. aus,sprichst. aus,spricht. aus,sprechen. aus,sprecht. aus,sprechen. aus,sprach. aus,sprachst. aus,sprach. aus,sprachen. aus,spracht. aus,sprachen. aus,ausgesprochen,,,aus. sprechen,to pronounce,Kannst du das Wort aussprechen?,Can you pronounce the word?,,,
66,reg,aus.  stellen ,stelle. aus,stellst. aus,stellt. aus,stellen. aus,stellt. aus,stellen. aus,stellte. aus,stelltest. aus,stellte. aus,stellten. aus,stelltet. aus,stellten. aus,ausgestellt,,,"exhibit, present, turn off",to exhibit / issue,Das Museum stellt alte Gemälde aus.,The museum exhibits old paintings.,,,
67,reg,aus.  strecken,strecke. aus,streckst. aus,streckt. aus,strecken. aus,streckt. aus,strecken. aus,streckte. aus,strecktest. aus,streckte. aus,streckten. aus,strecktet. aus,streckten. aus,ausgestreckt,,,"stretch out, reach out",to stretch out,Er streckt die Hand aus.,He stretches out his hand.,,,
68,reg,aus.  werten,werte. aus,wertest. aus,wertet. aus,werten. aus,wertet. aus,werten. aus,wertete. aus,wertetest. aus,wertete. aus,werteten. aus,wertetet. aus,werteten. aus,ausgewertet,,,"analyze, evaluate",to evaluate / analyze,Die Ergebnisse wurden ausgewertet.,The results were evaluated.,,,
69,reg,aus.  zeichnen ,zeichne. aus,zeichnest. aus,zeichnet. aus,zeichnen. aus,zeichnet. aus,zeichnen. aus,zeichnete. aus,zeichnetest. aus,zeichnete. aus,zeichneten. aus,zeichnetet. aus,zeichneten. aus,ausgezeichnet,,,"honor, award, decorate ","to distinguish, award",Der Autor wurde mit einem Preis ausgezeichnet.,The author was awarded a prize.,,,
70,unr,aus. leihen,leihe.  aus ,leihst.  aus,leiht.  aus,leihen.  aus,leiht.  aus,leihen.  aus,lieh.  aus,liehst.  aus,lieh.  aus,liehen.  aus,lieht.  aus,liehen.  aus,ausgeliehen,,,aus. leihen,to borrow/to lend,Ich leihe mir ein Buch aus.,I am borrowing a book.,,,
71,reg,äußern ,äußere,äußerst	,äußert	,äußern,äußert	,äußern,äußerte,äußertest	,äußerte,äußerten,äußertet,äußerten,geäußert,,,"express, speak, voice",to express,Sie äußerte ihre Meinung klar.,She expressed her opinion clearly.,,,
72,reg,aussteigen,steige aus,steigst aus,steigt aus,steigen aus,steigt aus,steigen aus,stieg aus,stiegst aus,stieg aus,stiegen aus,stiegt aus,stiegen aus,ausgestiegen,,,aussteigen,to get out of (a vehicle),Sie steigt aus dem Bus aus.,She is getting out of the bus.,,,
73,reg,backen,backe,bäckst,bäckt,backen,backt,backen,backte,backtest,backte,backten,backtet,backten,gebacken,,,backen,to bake,Sie backt einen Kuchen.,She is baking a cake.,,,
74,unr,baden,bade,badest,badet,baden,badet,baden,badete,badetest,badete,badeten,badetet,badeten,gebadet,sich,,baden,to bathe,Wir baden im See.,We are bathing in the lake.,,,
75,reg,bauen,baue,baust,baut,bauen,baut,bauen,baute,bautest,baute,bauten,bautet,bauten,gebaut,,,"buid, construct, erect",to build,Sie bauen ein neues Haus.,They are building a new house.,,,
76,reg,beantragen,beantrage,beantragst,beantragt,beantragen,beantragt,beantragen,beantragte,beantragtest,beantragte,beantragten,beantragtet,beantragten,beantragt,,,beantragen,to apply for,Ich beantrage ein Visum.,I am applying for a visa.,,,
77,reg,beantworten ,beantworte,beantwortest,beantwortet,beantworten,beantwortet,beantworten,beantwortete,beantwortetest,beantwortete,beantworteten,beantwortetet,beantworteten,beantwortet,,,"answer, reply + O akku # antworten + dativ","to answer, reply to",Er beantwortet die E-Mail sofort.,He answers the email immediately.,,,
78,reg,beaufsichtigen ,beaufsichtige,beaufsichtigst,beaufsichtigt,beaufsichtigen,beaufsichtigt,beaufsichtigen,beaufsichtigte,beaufsichtigtest,beaufsichtigte,beaufsichtigten,beaufsichtigtet,beaufsichtigten,beaufsichtigt,,,"supervise, oversee",to supervise,Die Lehrerin beaufsichtigt die Kinder.,The teacher supervises the children.,,,
79,reg,bedanken,bedanke,bedankst,bedankt,bedanken,bedankt,bedanken,bedankte,bedanktest,bedankte,bedankten,bedanktet,bedankten,bedankt,sich,bei (D) für (A),bedanken,to thank,Ich bedanke mich für die Einladung.,I thank you for the invitation.,x,,
80,reg,bedeuten,bedeute,bedeutest,bedeutet,bedeuten,bedeutet,bedeuten,bedeutete,bedeutetest,bedeutete,bedeuteten,bedeutetet,bedeuteten,bedeutet,,,bedeuten,to mean/to signify,Was bedeutet dieses Wort?,What does this word mean?,,,
81,reg,beenden,beende,beendest,beendet,beenden,beendet,beenden,beendete,beendetest,beendete,beendeten,beendetet,beendeten,beendet,,,"end, conclude, break up","to finish, end",Wir beenden das Projekt nächste Woche.,We will finish the project next week.,,,
82,unr,befinden,befinde,befindest,befindet,befinden,befindet,befinden,befand,befandest,befand,befanden,befandet,befanden,befunden,sich,,befinden,to be located/to be in a state,Ich befinde mich in Berlin.,I am in Berlin.,x,,
83,reg,befördern,befördere,beförderst,befördert,befördern,befördert,befördern,beförderte,befördertest,beförderte,beförderten,befördertet,beförderten,befördert,,,befördern,to transport/to promote,Die Firma befördert Waren.,The company transports goods.,,,
84,unr,befreien,befreie,befreist,befreit,befreien,befreit,befreien,befreite,befreitest,befreite,befreiten,befreitet,befreiten,befreit,,,"free, liberate, rescue","to free, liberate",Sie befreite den Vogel aus dem Käfig.,She freed the bird from the cage.,,,
85,reg,befürchen,befürchte,befürchtest,befürchtet,befürchten,befürchtet,befürchten,befürchtete,befürchtetest,befürchtete,befürchteten,befürchtetet,befürchteten,befürchtet,,,fear,"to fear, be afraid of",Ich befürchte das Schlimmste.,I fear the worst.,,,
86,reg,begegnen,begegne,begegnest,begegnet,begegnen,begegnet,begegnen,begegnete,begegnetest,begegnete,begegneten,begegnetet,begegneten,begegnet,,DAT,begegnen,to meet/to encounter,Ich begegne ihm auf der Straße.,I encounter him on the street.,x,,
87,reg,begehren,begehre,begehrst,begehrt,begehren,begehrt,begehren,begehrte,begehrtest,begehrte,begehrten,begehrtet,begehrten,begehrt,,,"wish, desire","to desire, covet",Er begehrt Ruhm und Reichtum.,He desires fame and wealth.,,,
88,reg,begeistern,begeistere,begeisterst,begeistert,begeistern,begeistert,begeistern,begeisterte,begeistert(e)st,begeisterte,begeisterten,begeistertet,begeisterten,begeistert,sich,an,begeistern,to inspire/to thrill,Die Musik begeistert mich.,The music inspires me.,x,,
89,unr,beginnen ,beginne,beginnst,beginnt,beginnen ,beginnt,beginnen ,begann,begannst,begann,begannen ,begannt,begannen ,begonnen ,,mit,begin,"to begin, start",Der Kurs beginnt morgen.,The course begins tomorrow.,,,
90,reg,begraben,begrabe,begräbst,begräbt,begraben,begrabt,begraben,begrub,begrubst,begrub,begruben,begrubt,begruben,begraben,,,begraben,to bury,Sie begraben den Schatz.,They bury the treasure.,,,
91,unr,begreifen,begreife,begreifst,begreift,begreifen,begreift,begreifen,begriff,begriffst,begriff,begriffen,begrifft,begriffen,begriffen,,,begreifen,to understand/to grasp,Ich begreife die Situation nicht.,I don't grasp the situation.,,,
92,reg,begrenzen,begrenze,begrenzt,begrenzt,begrenzen,begrenzt,begrenzen,begrenzte,begrenztest,begrenzte,begrenzten,begrenztet,begrenzten,begrenzt,,,begrenzen,to limit/to restrict,Wir müssen die Ausgaben begrenzen.,We have to limit the expenses.,x,einschränken,
93,reg,begründen ,begründe,begründest,begründet,begründen,begründet,begründen,begründete,begründetest,begründete,begründeten,begründetet,begründeten,begründet,,,"justify, establish, state reasons","to justify, give reasons for",Er begründete seine Entscheidung ausführlich.,He justified his decision in detail.,,,
94,unr,begünstigen ,begünstige,begünstigst,begünstigt,begünstigen,begünstigt,begünstigen,begünstigte,begünstigtest,begünstigte,begünstigten,begünstigtet,begünstigten,begünstigt,,,"favor, faciliate, bring forward","to favor, promote",Das Klima begünstigt den Weinbau.,The climate favors viticulture.,,,
95,reg,behalten,behalte,behältst,behält,behalten,behaltet,behalten,behielt,behieltst,behielt,behielten,behieltet,behielten,behalten,,,behalten,to keep/to retain,Du kannst das Buch behalten.,You can keep the book.,,,
96,reg,behandeln,behandle,behandelst,behandelt,behandeln,behandelt,behandeln,behandelte,behandeltest,behandelte,behandelten,behandeltet,behandelten,behandelt,,,behandeln,to treat/to handle,Sie behandelt ihre Patienten gut.,She treats her patients well.,,,
97,reg,beharren,beharre,beharrst,beharrt,beharren,beharrt,beharren,beharrte,beharrtest,beharrte,beharrten,beharrtet,beharrten,beharrt,,auf,beharren,to insist/to persist,Er beharrt auf seiner Meinung.,He insists on his opinion.,,,
98,reg,behaupten,behaupte,behauptest,behauptet,behaupten,behauptet,behaupten,behauptete,behauptetest,behauptete,behaupteten,behauptetet,behaupteten,behauptet,sich,,"assert, claim, argue, affirm","to claim, assert","Er behauptet, er sei unschuldig.",He claims he is innocent.,,,
99,unr,bei.  tragen,trage. bei,trägst. bei,trägt. bei,tragen. bei,tragt. bei,tragen. bei,trug. bei,trugst. bei,trug. bei,trugen. bei,trugt. bei,trugen. bei,beigetragen,,zu,bei. tragen,to contribute,Jeder kann etwas beitragen.,Everyone can contribute something.,x,,
100,reg,beißen,beiße,beißt,beißt,beißen,beißt,beißen,biss,bisst,biss,bissen,bisst,bissen,gebissen,,,beißen,to bite,Der Hund beißt nicht.,The dog doesn't bite.,,,
